Datum;Binnengekomen bij Provider;Doorgeleid naar keuzemenu;Door beller opgehangen in menu;Automatisch behandeld in menu;Thema;Gekozen voor thema incl. doorverbindingen;In de wachtrij;Door beller opgehangen in de wachtrij;Geholpen door medewerker;Gemiddelde wachttijd (s);;
30/01/2019;55984,00;55956,00;8857,00;2751,00;TOTAAL;54683,00;47474,00;5589,00;41885,00;291;;
30/01/2019;;;;;PARTICULIEREN;14870,00;14480,00;1639,00;12841,00;278;;
30/01/2019;;;;;ONDERNEMINGEN;13748,00;9101,00;1249,00;7852,00;469;;
30/01/2019;;;;;TOESLAGEN;8997,00;8997,00;825,00;8172,00;209;;
30/01/2019;;;;;INTERMEDIAIRS;5819,00;3957,00;378,00;3579,00;260;;
30/01/2019;;;;;AUTO;4245,00;4242,00;111,00;4131,00;50;;
30/01/2019;;;;;OVERIG;3496,00;3250,00;406,00;2844,00;417;;
30/01/2019;;;;;BUITENLAND;3249,00;3188,00;970,00;2218,00;410;;
30/01/2019;;;;;DOUANE;259,00;259,00;11,00;248,00;29;;
31/01/2019;49848,00;49811,00;6903,00;2258,00;TOTAAL;50999,00;45036,00;3830,00;41206,00;222;;
31/01/2019;;;;;ONDERNEMINGEN;13102,00;8624,00;1152,00;7472,00;473;;
31/01/2019;;;;;PARTICULIEREN;12921,00;12675,00;769,00;11906,00;149;;
31/01/2019;;;;;TOESLAGEN;8600,00;8600,00;530,00;8070,00;145;;
31/01/2019;;;;;INTERMEDIAIRS;5750,00;4573,00;320,00;4253,00;225;;
31/01/2019;;;;;AUTO;3926,00;3926,00;104,00;3822,00;55;;
31/01/2019;;;;;OVERIG;3284,00;3260,00;170,00;3090,00;237;;
31/01/2019;;;;;BUITENLAND;3144,00;3106,00;781,00;2325,00;330;;
31/01/2019;;;;;DOUANE;272,00;272,00;4,00;268,00;14;;
01/02/2019;40172,00;40154,00;5702,00;2703,00;TOTAAL;40585,00;38161,00;2346,00;35815,00;149;;
01/02/2019;;;;;PARTICULIEREN;11642,00;11642,00;407,00;11235,00;85;;
01/02/2019;;;;;ONDERNEMINGEN;8194,00;6104,00;726,00;5378,00;404;;
01/02/2019;;;;;TOESLAGEN;7346,00;7346,00;182,00;7164,00;40;;
01/02/2019;;;;;AUTO;4026,00;4026,00;76,00;3950,00;35;;
01/02/2019;;;;;INTERMEDIAIRS;3680,00;3421,00;187,00;3234,00;152;;
01/02/2019;;;;;OVERIG;2863,00;2822,00;148,00;2674,00;225;;
01/02/2019;;;;;BUITENLAND;2581,00;2549,00;606,00;1943,00;354;;
01/02/2019;;;;;DOUANE;253,00;251,00;14,00;237,00;87;;
04/02/2019;51355,00;51333,00;7030,00;3617,00;TOTAAL;51623,00;47649,00;3488,00;44161,00;162;;
04/02/2019;;;;;PARTICULIEREN;15435,00;15435,00;337,00;15098,00;55;;
04/02/2019;;;;;ONDERNEMINGEN;10183,00;6733,00;866,00;5867,00;410;;
04/02/2019;;;;;TOESLAGEN;9500,00;9500,00;171,00;9329,00;28;;
04/02/2019;;;;;AUTO;4662,00;4494,00;450,00;4044,00;222;;
